driver_id,customer_id,n_trips,avg_gmv,n_ghost,min_gap_min,n_close_gap,n_gap_valid,promo_rate,pct_close_gap,ghost_rate,high_confidence,n_rated_by_customer,n_rated_by_driver,pct_rate_customer_is_5,pct_rate_driver_is_5,mutual_perfect_rating,total_gmv_flagged,if_score_percentile,vae_rank_pct,lof_score_percentile
c9561893b800bd2b,c46050ed0ad41a6f,26,227076.92307692303,1,18.933333333333334,0,25,1.0,0.0,0.0384615384615384,False,10,22,1.0,1.0,True,5904000.0,0.007062748565435131,0.006887343253875966,0.26251015739941935
c9590262aa1c8bbf,29515115e8414f8c,24,317791.6666666667,4,45.016666666666666,0,23,0.4166666666666667,0.0,0.1666666666666666,False,21,22,1.0,1.0,True,7627000.0,0.0013889236915300713,0.003955568760671935,0.18120800564160758
c9ce03ce680b2fd7,811569850e7fcfe3,26,111307.69230769233,26,0.45,19,25,1.0,0.76,1.0,True,17,26,1.0,1.0,True,2894000.0,9.665190636936063e-05,0.00032217302123116465,0.0314047101695704
c9efa494f68df835,f731ee2171a0fa22,29,100206.89655172414,0,15.1,0,28,0.6896551724137931,0.0,0.0,False,24,29,1.0,1.0,True,2906000.0,0.013194775069535676,0.018016631287296025,0.3281045845220921
ca4280f928892751,af6d6d547de3cdf1,37,204054.05405405405,0,28.53333333333333,0,36,0.8378378378378378,0.0,0.0,False,27,36,1.0,1.0,True,7550000.0,0.0018507050219614609,0.003830279252415414,0.635454067076423
ca8451dc67f6df8e,d37a41458b9d77a0,26,41076.92307692308,0,2.3,7,25,0.0,0.28,0.0,False,24,25,1.0,1.0,True,1068000.0,0.01653105568939657,0.01024868177538818,0.15324338739873922
cac7808df0741ecb,f464455f43fa088a,26,118615.3846153846,1,5.883333333333334,0,25,0.7692307692307693,0.0,0.0384615384615384,False,25,26,1.0,1.0,True,3084000.0,0.004539059899124048,0.019466409882836433,0.4804995829649225
cb9155c721d35569,71c8f4c3070ce40c,26,255884.61538461535,0,33.916666666666664,0,25,0.9230769230769232,0.0,0.0,False,8,0,1.0,,False,6653000.0,0.0016430824082791307,0.0029496729943834232,0.11952619087677598
cba512c431731740,963580770cd4cb5a,25,133760.0,0,34.016666666666666,0,24,1.0,0.0,0.0,False,7,25,1.0,1.0,True,3344000.0,0.005441144358571413,0.01101473762587124,0.2013473991687936
cba512c431731740,e95907c20e7e30d6,24,97750.0,0,14.383333333333333,0,23,1.0,0.0,0.0,False,14,23,1.0,1.0,True,2346000.0,0.008176035338800729,0.022194141462593908,0.18297637755814328
cba869da2d35053f,29470a1721cd81cf,84,15535.714285714286,0,1.75,51,83,0.1309523809523809,0.6144578313253012,0.0,True,84,84,1.0,1.0,True,1305000.0,0.02188628724230633,0.00010023160660521668,0.00855906326404227
cba9f83e8f52d6dc,285f905f8f9f4caa,25,30000.0,0,2.5166666666666666,8,24,0.0,0.3333333333333333,0.0,False,19,25,1.0,1.0,True,750000.0,0.03916907998124237,0.016241099970288442,0.16987109499450517
cc4d413a69e16472,99785ccf8da72916,27,193592.59259259255,0,23.3,0,26,0.9629629629629628,0.0,0.0,False,24,24,1.0,1.0,True,5227000.0,0.010717622506291323,0.008462411357672894,0.7431421892730703
cc5caf8330d775dd,97f42ca28c43097e,31,211967.74193548388,6,26.566666666666663,0,30,1.0,0.0,0.1935483870967742,False,21,0,1.0,,False,6571000.0,0.00023089066521569485,0.0033792370226917168,0.0640658951219425
cc93a3e44a6f1230,c7074ce36bc909a0,30,251933.3333333333,2,9.133333333333333,0,29,0.8666666666666667,0.0,0.0666666666666666,False,24,0,1.0,,False,7558000.0,0.0024019788582904066,0.003590439336609963,0.2819729875820199
